2006-550260	8337721	University of Vanderbilt	US
2013-740271		WINTEK	TW | CN
2009-416816		Wisconsin Alumni Research Foundation	US
2013-945171		Wisconsin Alumni Research Foundation	US
2007-745156	7888583	Wisconsin Alumni Research Foundation	US
2009-502560	8030843	Wisys	US
2009-628165		Witty Mate Corporation	CN
2006-434601		X-RITE	US
2006-433991		X-RITE	US
2008-216018	7659129	개인	CN
2008-213816	8349546	개인	CN
2011-136357	8536098	개인	US
2008-144542		개인	TW
2011-288922		개인	US
2007-715047	7906229	개인	US
2008-079068		개인	US
2009-463683		개인	CN
2009-392901		개인	US
2011-065697	8459855	개인	US
2012-526750		고려대학교	KR
2011-325528	8679879	광주과학기술원(JIST)	KR
2011-325671		광주과학기술원(JIST)	KR
2010-960723	8587187	라이타이저코리아	KR
2011-234620		삼성LED	KR
2007-000360	8030664	삼성LED	KR
2011-159120		삼성LED	KR
2011-312603		삼성LED	KR
2011-160140		삼성LED	KR
2011-173392		삼성LED	KR
2009-397115	8251528	삼성LED	KR
2012-446735		삼성LED	KR
2007-672285	8017972	삼성LED	KR
2006-589627	7667394	삼성SDI	KR
2010-907743	8460632	삼성디스플레이	KR
2010-886853	8766315	삼성디스플레이	KR
2013-790665		삼성디스플레이	KR
2009-500177		삼성디스플레이	KR
2012-645207		삼성디스플레이	KR
2006-407335	7727788	삼성모바일디스플레이	KR
2011-037009		삼성모바일디스플레이	KR
2008-026684	8164255	삼성모바일디스플레이	KR
2008-970723	8247073	삼성전자	KR
2010-791309		삼성전자	KR
2007-822677	8247795	삼성전자	KR
2010-807344		삼성전자	KR
2009-564460		삼성전자	KR
2011-277361	8592037	삼성전자	KR
2008-039018	8749130	삼성전자	KR
2009-590619	8425803	삼성전자	KR
2005-183240	7560394	삼성전자	KR
2006-353957	8003010	삼성전자	KR
2007-933306		삼성전자	KR
2008-204725	7982812	삼성전자	KR
2006-442875	7800302	삼성전자	KR
2008-010869	7863813	삼성전자	KR
2011-224676	8471268	삼성전자	KR
2012-443732		삼성전자	KR
2010-977195	8581230	삼성전자	KR
2011-236439		삼성전자	KR
2013-858136		삼성전자	KR
2012-482274		삼성전자	KR
2009-630223	8227979	삼성전자	KR
2006-332688		삼성전자	KR
2009-655438		삼성전자	KR
2012-613203		삼성전자	KR
2006-612179	7910400	삼성전자	KR
2009-534226	8120010	삼성전자	KR
2008-109843	8765014	삼성전자	KR
2010-708664	8330142	삼성전자	KR
2004-580394		삼성전자	KR
2008-032252		삼성전자	KR
2011-017433	8618528	삼성전자	KR
2010-939613	8658439	삼성전자	KR
2011-194359	8664637	삼성전자	KR
2005-225089		삼성전자	KR
2008-081367		삼성전자	KR
2012-594141		삼성전자	KR
2009-421215		삼성전자	KR
2009-397102		삼성전자	KR
2012-430213		삼성전자	KR
2012-462412		삼성전자	KR
2006-534867	8017952	삼성전자	KR
2013-791213		삼성전자	KR
2011-231816		삼성전자	KR
2010-687290	8353613	삼성전자	KR
2013-772987		삼성전자	KR
2010-846335	8294168	삼성전자	KR
2012-237036		삼성전자	KR
2009-625727	8360617	삼성전자	KR
2008-017677		삼성전자	KR
2006-410621	7649594	삼성전자	KR
2009-654344	8675167	삼성전자	KR
2009-654336	8247790	삼성전자	KR
2006-331751		삼성전자	KR
2009-318874	7985607	삼성전자 l 포항공과대학	KR
2012-589821		서울대학교	KR
2007-442943		서울대학교	KR
2011-304814	8748864	서울바이오시스	KR
2004-841999		서울바이오시스	KR
2013-076642		서울반도체 l LITEC-LP	KR
2009-498257	8395141	서울산업대학교	KR
2009-498265	8748862	서울산업대학교	KR
2009-431930	8253145	서울산업대학교	KR
2013-091556		성균관대학교	KR
2006-885886	7824767	일본산업기술총합연구소	JP
2008-199466	8039369	일본산업기술총합연구소	JP
2006-992403	8585927	일본산업기술총합연구소	JP
2010-883321		충북대학교	KR
2005-262341		한국과학기술원(카이스트)	KR
2009-126053	8354090	한국기계연구원	KR
2009-126300		한국기계연구원	KR
2005-272617	7749787	한국전자통신연구원	KR
2006-356004		한국전자통신연구원	KR
2009-498402	8026508	한국전자통신연구원	KR
2006-096764	7772587	한국전자통신연구원	KR
2009-388056	8227327	한양대학교	KR
2009-388643	8168517	한양대학교	KR
